"Observed","RF","LMM"
852.4111272,1168.00565180126,1355.40325108595
2440.234454,2610.53262162591,2397.1037387286
1340.533179,1592.91832267604,1582.68063876748
2222.113434,1798.34706003712,2054.05076960837
1487.687805,1986.01992741706,2076.7759873635
1818.818584,1948.44646959527,1738.34217924826
1713.088782,1630.46040359459,1534.0089241989
2290.773702,2136.62304342843,2156.08507691931
1826.284929,2178.84518087607,2445.49518301176
2850.979009,2072.16166491705,1970.55238409478
2810.236346,2249.40863899758,2150.8675155161
1458.752196,2000.15476046266,2106.89909310715
2433.722768,2644.98707126907,2754.26698579667
2378.685454,1759.40995066313,1928.32329511562
707.5443262,1558.86112161379,1390.73028694923
3795.753412,2973.76531535608,2432.92256470143
1046.996476,877.156310100733,1039.03083926663
2510.644466,3051.67133548344,2464.16699948473
1155.941854,1854.74332984728,1878.69612831168
1669.397695,1554.0668009046,1806.57247740919
817.2532923,901.305983436612,938.552364182011
769.6885623,790.730427132825,638.882846541681
1831.500444,2206.11773191689,2392.16614173458
1755.825977,2140.95825080605,1899.10707808679
1547.107448,2011.03461102208,2055.9256397052
502.1309772,1031.05843109539,1201.71394756295
1159.960609,1973.22556938889,2011.86935323826
2995.99217,2069.07004284815,1958.34710214219
403.9793478,739.849488490695,1464.48982221505
818.2608828,567.298757738978,667.419609843179
1689.495366,1809.38949758618,1668.29226694512
1051.501648,1941.32862841667,2347.3791911565
653.5788247,1246.05553814335,896.178244198819
2602.35413,1843.69506848938,1631.06495627078
2940.718348,2437.35887482303,2666.336419756
2832.195911,1693.91121369938,1958.20523497598
998.2322253,1384.38983035079,1281.72376254325
2397.751324,2532.9609579585,2433.86904131098
2649.114768,2076.29748089467,2299.82647495761
2524.160239,2089.84754652275,1930.80407923415
2387.652627,1840.62306040553,2319.9706125024
2768.756321,2398.86979802172,2103.88461717602
2091.550934,1870.95326834481,1940.88081105302
1046.853991,1284.80177232234,1511.87447022294
2381.358135,2254.84571615407,2145.07075456323
1846.727209,2253.77950702111,2421.47542279656
1236.645059,1110.9827142906,1110.1837721322
1639.622935,1580.88268153284,1667.65420276769
2706.32394,2140.21570213648,2391.572367628
2139.781977,1724.87562534985,1739.38017605632
2494.587138,2192.09479042572,2158.28950532586
1062.358915,1243.55792437794,1386.73626234357
959.1176889,1343.7900315982,1285.88021960003
2097.255921,1973.0815128505,2288.10931784618
213.1430369,926.106647374654,903.095895441908
1458.635439,1605.99804462244,2038.19232680912
2629.826389,2492.36359738713,2386.15784501516
3001.718599,2102.01370047635,1843.34670005314
1051.364746,1744.91796850086,1751.04511502291
1898.693966,1176.38769532502,1422.89499071802
1015.629349,900.724839420573,930.004009450813
1460.866866,1254.92615530129,1304.37872777163
2281.228358,1659.57096882231,1828.45091141636
2199.094933,1904.51825909714,1928.15860919357
2859.850341,2433.33740158371,2284.74918811639
2267.121754,2552.81889812447,2178.44653744011
1398.917467,2082.7474582617,2310.14513617081
2570.657362,1982.00727761076,2071.92637997516
1664.855439,1868.39288855734,2443.82098431401
1487.391173,2074.33244649504,2420.0638529998
1751.020972,1984.82867949133,1844.0268902377
3660.559329,2718.10299520729,2698.78283383577
2704.416209,2812.6360064776,2318.11486930224
2503.995276,2386.6887941785,1907.21728943939
1314.823569,1994.96766761975,1993.07627968201
846.0365637,1061.5841922496,864.884144780382
2140.854661,2055.46682212882,2027.16621236771
600.105339,890.067702797496,843.393053377455
2628.239968,2407.3002717098,2471.39728799708
1878.593875,2358.46783717568,2427.38325884333
1122.63681,1502.53679114638,1525.32664658453
1876.843222,2015.36035772835,1900.91137804749
1669.111504,1033.16703123895,817.103700862236
487.1282369,907.929092297058,1020.10660840648
127.5812843,294.326063237621,122.102602800319
2124.636006,2029.65522550232,1795.64651611137
1751.783609,2058.37633482269,2234.09846413883
793.3271307,1830.55048228086,1733.62239982917
1330.388138,2065.39428020669,2507.95545746373
2114.268071,1774.49029357232,2003.96282691464
2468.479659,2159.75775813088,1884.73464732581
2097.979928,2431.27687581828,2539.11503148468
3267.2048,2142.61175865814,2324.58950623575
2709.295437,2720.41491469987,2559.13023015146
2440.599667,1087.24596054006,1256.26412723216
826.7863038,1167.2304577139,1507.72630890444
2097.676673,1926.08018904698,1895.91796206147
4359.467376,2087.91469645448,2017.50176115588
98.51914256,96.7639479438919,-50.4478036894398
615.320055,825.752848286917,771.032634225767
2884.846839,1826.59059613701,1982.58923391841
575.5265431,1222.36504580375,1546.7656707161
1248.129845,1134.99883976857,1354.11569781664
4419.9263,2747.50923204691,2071.79997835915
2664.972449,2248.28202880647,2611.35505573797
1879.847232,1820.36735929653,1584.24343941592
1421.057539,2243.9897911614,1874.86878625965
1232.611476,1341.42962235103,1504.28262839723
2926.428905,2352.46038987196,2136.99090526466
856.244483,1591.6737353537,1766.94226844154
807.039998,1185.58317492259,1153.54725633126
572.9394757,1006.06733132088,894.551339873814
1447.213026,1784.5542317491,1794.02598485047
2332.404108,2399.49007667206,2579.16483847745
560.8049233,1229.13147168524,1170.74893824431
2177.985373,2005.71694596535,1871.68183182005
1898.680484,2145.62817497397,2247.62760225344
2255.265123,1894.04682840878,2078.97848313588
3066.438057,2467.78908859722,2545.69462026723
1479.877691,2216.25256868951,1964.95426633324
154.5688445,222.306382148073,80.6899159560786
926.142217,1980.08111004538,2272.02624969229
2081.503642,2106.76562324275,2181.90853480071
1871.195116,2624.89304531371,2637.69451690248
1583.40453,2274.30866467546,2316.70273017639
711.9471089,469.544053604634,328.520374786157
75.0767924,275.472952388995,281.490730610127
274.4805385,395.552882012571,44.8482117971406
1652.668742,1590.13762945991,1737.49618461334
2661.845335,2282.49810368588,2635.53910517837
1668.452973,1857.4140348459,2002.66148388985
2022.406559,2375.07977602916,2040.69197449508
2443.712025,2603.14442993474,2512.00570446045
1349.989182,2734.00119045357,2769.77279641692
2562.306003,2673.79427894446,2543.23835915652
1706.957803,1906.22236057781,1931.13738893798
2126.476757,2352.47966535162,1977.14926961379
1886.438522,1694.38395290031,1745.05637253081
1007.459626,1919.01008560935,1936.82487581692
2253.512884,1976.38116242873,2151.44350465548
625.1446916,692.826305281119,1034.36279217521
1849.270527,2269.92920862643,2337.41625017826
2857.173163,1876.77448693495,1835.26294313377
2045.29683,2164.31218849264,2049.0120779579
2118.704838,1891.97605887102,2013.32796904991
1964.753623,2168.14672171785,2079.72654985066
2780.183491,2272.60810540763,2074.53429590356
2335.586093,2600.13202988791,2480.58741403284
809.6771966,822.531426027392,848.611490731991
1092.536928,947.629978504571,1105.38757730851
3448.823372,3022.51006495025,2609.77868845834
1464.479649,1266.573959257,1314.64228172469
97.9106615,115.640311331742,8.24179107343815
2671.901871,2052.21765533632,2005.94149253645
1993.536915,1723.53111105866,1918.38312945107
2669.05642,1839.0663642746,1951.81114897844
3103.364255,2799.79198516324,2559.00487815217
2867.497192,2029.11514999666,2041.68303964558
1258.382064,1462.53630577317,1518.94253188112
2223.754809,2133.9691264427,2197.67826814291
1971.990281,2380.01665398183,2114.20379511331
2816.815109,2356.55007379263,3475.51591485404
2451.397833,2503.27334213175,2392.08756738895
3626.702579,2381.9298409721,2362.49017137554
2985.628939,2969.21247124859,2750.49689096222
2458.768355,2231.57054930317,2100.92368275906
2379.921249,2812.58303216697,2770.92495865062
1016.831885,1232.37230581386,1631.4748002708
3219.563324,1915.94226351755,1814.0652168054
2504.418949,2151.32351728283,2330.71014941007
828.9377703,839.833940913907,826.880177419669
2109.804813,2111.25037098518,2372.32545995211
2036.272028,1556.34483950514,1752.07503743052
1688.264543,2559.80431863598,2163.43517585809
2222.113434,1790.79763074421,2008.22190998129
2109.054379,1752.883962771,2084.98434369546
218.6899589,1106.30204521823,1324.43088695374
2324.970981,2156.47238106982,2272.05303655254
1899.264881,1937.78430836724,2034.6026785584
1455.876141,1910.74216315875,1982.0674255361
2291.733442,2560.47109338671,2513.34052781407
2348.746275,2341.26400914684,2550.59310248676
2218.918528,2393.18095993316,2442.15531439406
1924.235302,1758.90099137884,2032.1724274782
1134.577496,1000.43448420549,1002.78706559969
869.4528536,2690.43020526077,1638.9204199642
1774.491049,1135.63251823885,1087.40401891438
1931.01347,1999.39004156926,2031.28558925464
4140.181856,3141.58469979636,2762.32967349221
2295.589837,1693.13881675612,1919.84363226837
201.6858418,1691.56794157525,532.220676064473
1840.789274,1343.68351024097,1593.70996687036
1655.267311,1237.23246143728,1136.03671202555
1135.623114,1773.22356497911,1756.62101248464
2978.046974,2515.08840354087,2310.68400160304
1539.092926,1709.80280700039,1820.78686035061
1998.359573,2245.76255103319,2140.67043952961
2033.300206,1894.55091657122,1983.49917116793
2216.001171,2747.68209002662,2517.0393651485
1783.85454,1959.53981027153,1957.29161258831
1917.740995,1899.09188681182,2217.35730819742
3282.028663,2636.2156867749,2610.10684955055
2537.773797,2454.07310055569,2140.48986713887
1925.480514,1365.19418639403,1258.80775737538
2711.482518,2455.2035882241,2315.01739455735
833.882963,1225.44802251523,1527.53251265965
2733.747717,1788.76287512822,1800.46055466103
1086.701149,1409.24503004338,1343.98229950698
1487.119049,1630.66161144887,1734.62407012067
2678.409868,2310.58837992405,2069.95414492701
1712.427042,1731.60330479521,1865.99124857112
1676.810056,1684.80435100441,1785.67605406352
583.6085482,2202.28064105872,1098.3855486374
2173.476145,2111.86119839005,2187.33798255067
2920.009893,2532.60354876927,2633.60289137941
2502.688209,2555.21190155071,2651.90804710401
736.3442061,1657.37599395833,1551.70593516528
2648.503429,1946.81465480373,1758.75294304418
2421.142315,1945.9432817503,1663.16930670925
1886.877242,2295.09418814639,2445.94763202828
605.8610135,884.182629059324,1088.03192166365
2990.717812,2499.22724920661,2402.20205996051
821.7229238,1506.72061257462,1600.84351468313
2795.320993,2814.42426472631,2582.41215071797
1406.169299,1872.70454947679,1853.74972858528
1731.342926,2277.79322619243,2288.18762660569
2161.638246,2243.00434342778,2336.57132724188
1317.845922,1954.51640039976,2308.46583014003
1729.066755,2745.80039327354,2321.6708977822
1883.268859,1958.71328677568,2036.60130954887
997.8047427,1983.90653859812,2541.82133757236
2122.315278,1507.38299719391,1569.52363001273
3198.667356,2320.22009993115,2555.95881545868
1173.694723,1259.87809800379,1362.5498270379
3653.960122,2375.71263232386,2400.91208126164
1301.220631,1666.67639971043,1680.20602657636
1873.375513,2099.86977516349,2297.64994967457
2422.970284,2305.72328526097,2513.88230942185
1967.229301,2190.27230243547,2229.96310791316
2546.954603,1799.74381910801,1624.19517518813
2530.076824,2230.27247315035,2269.57379757803
1926.2263,2144.6449023586,1871.40407843706
2843.759953,2956.0168742534,2659.64242917038
1668.862574,2536.252212765,2590.56302396105
1680.820897,1945.48971580601,1972.39249383755
2421.142315,1945.9432817503,1663.16930670925
1750.193127,2370.40098008967,2207.32684157193
3174.100515,2219.73300069035,2034.62333293764
2213.484304,1743.52908048727,1676.45477165848
2147.11125,2837.1259614037,2275.67188716039
46.87976718,70.6442617611141,-239.09953363507
2580.547047,2233.03721679264,2458.39752477354
856.244483,1591.6737353537,1766.94226844154
1496.330983,1908.37501905066,2104.13378447686
3592.427591,2071.14977248979,2587.1385384352
1185.990285,1164.55227747019,883.194870663323
1264.655844,1078.98206015263,509.007658239626
2342.281185,2023.01455777852,2044.96731429772
358.9402657,561.791259376156,562.682228753283
2275.763381,2123.10839841253,2157.54670098071
411.3864397,594.146764241023,1184.01803584944
3408.405383,2933.45048678792,2884.90237899507
2139.379243,1719.00140238969,1597.76813934232
2157.324804,1743.58117262579,1905.35762429861
1081.460835,1066.47271182824,1390.30818242008
2611.866042,2343.35930375283,2320.31273410888
