Plot,Observed,Predicted
0,852.4111272,1059.4968
1,2440.234454,2275.6501
2,1340.533179,1787.4119
3,2222.113434,1846.3153
4,1487.687805,1883.3538
5,1818.818584,2071.192
6,1713.088782,1874.7405
7,2290.773702,2373.4944
8,1826.284929,2576.9946
9,2850.979009,2115.0266
10,2810.236346,2353.4902
11,1458.752196,1968.1346
12,2433.722768,2396.5188
13,2378.685454,2099.0583
14,707.5443262,1059.1357
15,3795.753412,2834.5789
16,1046.996476,951.3697
17,2510.644466,2316.038
18,1155.941854,1722.129
19,1669.397695,1336.2483
20,817.2532923,985.9577
21,769.6885623,800.3168
22,1831.500444,2182.5466
23,1755.825977,1468.244
24,1547.107448,1967.3738
25,502.1309772,728.1499
26,1159.960609,1988.0471
27,2995.99217,2809.489
28,403.9793478,969.3415
29,818.2608828,587.3528
30,1689.495366,1740.1091
31,1051.501648,1781.0824
32,653.5788247,917.47644
33,2602.35413,1614.2231
34,2940.718348,2858.289
35,2832.195911,2453.929
36,998.2322253,1545.6693
37,2397.751324,2906.3838
38,2649.114768,2323.696
39,2524.160239,1868.0042
40,2387.652627,2376.444
41,2768.756321,2434.6116
42,2091.550934,1721.647
43,1046.853991,1229.9478
44,2381.358135,1893.4817
45,1846.727209,1855.3717
46,1236.645059,998.20404
47,1639.622935,1569.2188
48,2706.32394,2235.1963
49,2139.781977,1558.6609
50,2494.587138,2256.7156
51,1062.358915,1293.2874
52,959.1176889,752.7053
53,2097.255921,1709.5917
54,213.1430369,614.8495
55,1458.635439,2155.417
56,2629.826389,2582.4224
57,3001.718599,2375.2683
58,1051.364746,1327.2458
59,1898.693966,1263.6497
60,1015.629349,1163.2604
61,1460.866866,1330.7458
62,2281.228358,2241.6904
63,2199.094933,1971.4818
64,2859.850341,2870.8457
65,2267.121754,2619.217
66,1398.917467,1923.0345
67,2570.657362,2385.7148
68,1664.855439,1979.0112
69,1487.391173,2308.4006
70,1751.020972,2069.489
71,3660.559329,2976.8433
72,2704.416209,3134.0222
73,2503.995276,1992.6134
74,1314.823569,1700.4277
75,846.0365637,812.5712
76,2140.854661,2113.6396
77,600.105339,507.81558
78,2628.239968,2297.367
79,1878.593875,2382.8013
80,1122.63681,1593.8772
81,1876.843222,2381.7422
82,1669.111504,894.0102
83,487.1282369,789.93225
84,127.5812843,173.44044
85,2124.636006,1579.0264
86,1751.783609,2250.8594
87,793.3271307,1607.6835
88,1330.388138,1827.0363
89,2114.268071,1520.0017
90,2468.479659,1984.1581
91,2097.979928,2202.8901
92,3267.2048,2580.7676
93,2709.295437,2774.472
94,2440.599667,1391.3878
95,826.7863038,1559.5072
96,2097.676673,2205.4097
97,4359.467376,2235.4644
98,98.51914256,92.27336
99,615.320055,655.6404
100,2884.846839,2200.6252
101,575.5265431,955.2045
102,1248.129845,1441.2344
103,4419.9263,3344.2263
104,2664.972449,2278.8093
105,1879.847232,1140.5638
106,1421.057539,1393.0491
107,1232.611476,1388.2916
108,2926.428905,2679.7227
109,856.244483,1109.5248
110,807.039998,1033.8293
111,572.9394757,1017.98505
112,1447.213026,1530.182
113,2332.404108,1804.174
114,560.8049233,1505.2546
115,2177.985373,2140.3328
116,1898.680484,2124.8027
117,2255.265123,1617.6313
118,3066.438057,2477.257
119,1479.877691,1575.251
120,154.5688445,50.281754
121,926.142217,1770.5094
122,2081.503642,2007.228
123,1871.195116,2984.2808
124,1583.40453,1847.0764
125,711.9471089,469.01718
126,75.0767924,284.0037
127,274.4805385,219.69453
128,1652.668742,1798.7649
129,2661.845335,2523.621
130,1668.452973,1990.2831
131,2022.406559,2123.74
132,2443.712025,2832.3235
133,1349.989182,2564.3994
134,2562.306003,2103.9285
135,1706.957803,1965.3949
136,2126.476757,1894.8641
137,1886.438522,1832.3734
138,1007.459626,1939.9438
139,2253.512884,1905.7152
140,625.1446916,861.06036
141,1849.270527,2153.4324
142,2857.173163,2157.2495
143,2045.29683,2552.754
144,2118.704838,2129.0671
145,1964.753623,2405.9111
146,2780.183491,2421.9824
147,2335.586093,2695.002
148,809.6771966,907.3777
149,1092.536928,1020.79956
150,3448.823372,2792.0962
151,1464.479649,1077.7528
152,97.9106615,94.17855
153,2671.901871,2478.1794
154,1993.536915,2232.0117
155,2669.05642,2231.5906
156,3103.364255,2962.55
157,2867.497192,2410.3691
158,1258.382064,1550.84
159,2223.754809,2273.834
160,1971.990281,2198.0906
161,2816.815109,2155.0483
162,2451.397833,2524.2312
