Plot,Observed,Predicted
0,4,6.211376
1,5,6.329254
2,7,8.677815
3,2,4.6804485
4,4,8.07121
5,11,9.662582
6,6,5.6907306
7,12,6.7908483
8,3,6.045593
9,9,9.785
10,10,10.3529415
11,5,6.3802
12,7,8.063115
13,10,9.110605
14,1,5.835724
15,8,8.226972
16,5,5.939883
17,3,7.3477287
18,7,8.319627
19,6,4.888492
20,3,8.903615
21,4,6.177898
22,8,8.836871
23,4,6.7296233
24,4,6.7253227
25,2,3.6093905
26,4,5.100038
27,12,8.231296
28,7,8.990662
29,14,9.073918
30,6,5.616983
31,4,6.768196
32,1,4.6303444
33,6,6.355976
34,6,4.9867373
35,11,11.374986
36,6,4.8634706
37,6,7.3282228
38,5,5.4850883
39,11,9.017048
40,8,6.784095
41,4,8.794889
42,7,6.4850874
43,5,7.352386
44,13,8.227699
45,6,6.9015307
46,3,5.1135397
47,4,9.276447
48,11,6.9148865
49,3,3.6577964
50,7,5.476606
51,12,8.07111
52,3,5.558394
53,5,5.252004
54,1,1.800401
55,4,6.750949
56,7,8.15486
57,7,6.710298
58,1,9.255939
59,11,9.905432
60,13,12.640058
61,11,14.721425
62,7,7.26313
63,10,5.206946
64,6,7.118832
65,9,7.8240056
66,6,6.5955224
67,8,8.535475
68,3,4.5628543
69,7,7.677517
70,15,10.94301
71,2,6.4805875
72,12,8.290239
73,15,9.664878
74,9,6.8524313
75,6,6.495335
76,7,6.694838
77,0,3.6075683
78,9,9.53136
79,6,7.465361
80,3,8.718324
81,5,5.709618
82,9,5.1103954
83,1,4.515562
84,2,2.832026
85,13,9.292003
86,5,5.338425
87,2,5.972818
88,5,4.287328
89,8,8.105379
90,16,8.883997
91,6,7.6211624
92,4,4.6848764
93,9,8.620418
94,7,7.045889
95,13,8.880644
96,4,6.28126
97,6,8.250003
98,0,1.7534618
99,1,3.8410125
100,7,6.5856524
101,1,6.4294333
102,10,9.33135
103,9,5.706731
104,9,5.4804063
105,7,3.6369371
106,10,9.408574
107,13,12.9623375
108,10,7.1374927
109,1,1.5214951
110,4,3.922781
111,5,9.844243
112,9,5.2107997
113,3,4.6301165
114,3,5.2506337
115,5,6.385788
116,4,7.2443314
117,12,8.127872
118,13,6.7379766
119,13,10.4648695
120,2,3.1736567
121,6,7.2953124
122,8,8.719458
123,6,7.5897107
124,7,6.3708243
125,4,3.461668
126,1,4.5456104
127,1,4.042538
128,6,7.5117207
129,7,6.5371943
130,4,8.2344475
131,2,4.2903013
132,4,7.1935916
133,9,6.9695196
134,5,5.926255
135,5,7.325961
136,4,2.351963
137,8,10.392668
138,11,7.964439
139,4,7.4992466
140,12,13.540735
141,7,5.4578967
142,11,9.176515
143,9,9.089313
144,8,8.267663
145,13,8.672928
146,4,8.552782
147,7,8.004788
148,5,7.9773855
149,12,10.727631
150,13,9.9218025
151,5,8.913831
152,0,1.4079859
153,5,7.4698515
154,8,6.581124
155,13,10.40538
156,12,9.265845
157,13,6.18037
158,7,8.934136
159,4,4.539935
160,8,8.693482
161,8,9.434413
162,8,5.9209127
163,9,7.404083
164,6,8.808099
165,7,5.886076
166,8,7.420083
167,3,3.9841788
168,11,6.9843764
169,4,6.550931
170,4,3.9614344
171,8,7.5438623
172,8,4.122976
173,3,8.12479
174,2,5.0631194
175,9,4.174651
176,4,9.199369
177,10,7.121649
178,4,5.736276
179,7,9.849774
180,10,8.000419
181,3,6.1968617
182,6,8.180218
183,5,6.3207536
184,6,4.889685
185,3,7.8723893
186,6,7.3985324
187,9,6.667056
188,7,6.8760653
189,6,5.805029
190,2,3.6099772
191,4,6.6887608
192,6,5.512361
193,18,12.52826
194,6,4.538458
195,3,4.818951
196,12,8.475249
197,9,6.932981
198,4,6.040681
199,10,8.120675
200,1,5.6127424
201,5,5.2498975
202,5,9.105498
203,12,5.7079086
204,15,9.085012
205,5,5.9087954
206,9,7.32562
207,8,5.8168635
