Plot,Observed,Predicted
245,0.714285714,0.566504
246,0.352941176,0.36121926
247,0.5,0.4781383
248,0.153846154,0.39029157
249,0.318181818,0.41059074
250,0,-0.001256235
251,0.2,0.28329533
252,0.3125,0.38153124
253,0.090909091,0.21538882
254,0.058823529,0.17168888
255,0.275862069,0.5983048
256,0.066666667,0.28635997
257,0.217391304,0.6232997
258,0.85,0.73687506
259,0.714285714,0.69485325
260,0.058823529,0.2122737
261,0.888888889,0.8038456
262,0.076923077,0.2823097
263,0.88,0.6687093
264,0.166666667,0.4432561
265,0.652173913,0.6977148
266,1,0.79915863
267,0.476190476,0.40285107
268,0,0.17896596
269,0.076923077,0.67736506
270,0.666666667,0.6962353
271,0.833333333,0.6225847
272,0.4,0.74691975
273,0.2,0.23633361
274,0.619047619,0.6893844
275,0.933333333,0.86390656
276,0.142857143,0.6669701
277,0.263157895,0.18946056
278,0.461538462,0.44413042
279,0.777777778,0.7267772
280,0.526315789,0.5946459
281,0,0.42500812
282,0,0.5602981
283,0.111111111,0.07534336
284,0.095238095,0.29174814
285,0.263157895,0.527491
286,0.71875,0.7038292
287,0.454545455,0.56595147
288,0.307692308,0.3272462
289,0.32,0.5248991
290,0.35,0.4789137
291,0.391304348,0.39063722
292,0.866666667,0.6620642
293,0.090909091,0.1734373
294,0.230769231,0.19007616
295,0.696969697,0.85407275
296,0.333333333,0.35033762
297,0.173913043,0.11437547
298,0.055555556,0.14150119
299,0.428571429,0.31526145
300,0.111111111,0.1307927
301,0.333333333,0.35369578
302,0.444444444,0.5941941
303,0.631578947,0.34479842
304,0.916666667,0.60360026
305,0.2,0.06932495
306,0.5,0.29636326
307,0.52,0.60468185
308,0.576923077,0.46150893
309,0,0.44702435
310,0.916666667,0.6597392
311,0.592592593,0.56617796
312,0.777777778,0.600583
313,0.095238095,0.07839547
314,0.727272727,0.45341203
315,0.133333333,0.09638363
316,0.157894737,0.24837151
317,0.125,0.20353745
318,0,0.39767158
319,0.75,0.7830932
320,0.071428571,0.2579224
321,0.266666667,0.14745337
322,0,0.06431396
323,0.533333333,0.5001179
324,0.416666667,0.48063803
325,0.52173913,0.36964533
326,0.692307692,0.6162263
327,0.045454545,0.149664
328,0.166666667,0.44077975
329,0.052631579,0.19540098
330,0.2,0.24501634
331,0.666666667,0.40832835
332,0.3,0.5731077
333,0.32,0.4570937
334,0.555555556,0.6350951
335,0.777777778,0.48881295
336,0.380952381,0.1638242
337,0.303030303,0.3633753
338,0.631578947,0.4430083
339,0.454545455,0.28969353
340,0.695652174,0.6487934
341,0.75862069,0.81086016
342,0.45,0.29391885
343,0.076923077,0.09525816
344,0.793103448,0.7608168
345,0.071428571,0.41535082
346,0.347826087,0.18935646
347,0.157894737,0.4465424
348,0.9,0.77453744
349,0.652173913,0.5547526
350,0.3,0.2992786
351,0.428571429,0.528718
352,0.421052632,0.5009355
353,0.391304348,0.73104167
354,0.157894737,0.22714734
355,0.461538462,0.31315422
356,0.25,0.4194383
357,0.076923077,0.18093708
358,0.344827586,0.6457158
359,0.409090909,0.2778127
360,0.277777778,0.44121778
361,0.5,0.5676931
362,0.333333333,0.5894914
363,0.294117647,0.23649192
364,0.866666667,0.6838136
365,0.833333333,0.56629366
366,0.461538462,0.5066871
367,0.083333333,0.2263233
368,0.333333333,0.38581192
369,0.2,0.30266637
370,0.923076923,0.6865957
371,0.363636364,0.6532504
372,0,0.15570545
373,0.541666667,0.36660567
374,0.826086957,0.6174231
375,0.777777778,0.7090053
376,1,0.6267577
377,0.793103448,0.57313204
378,0.454545455,0.48658612
379,0.366666667,0.3327787
380,0.483870968,0.34178066
381,0.47826087,0.29652232
382,0.857142857,0.6969675
383,0.125,0.12557738
384,0.416666667,0.32486665
385,0.4,0.27695066
386,0,0.29254124
387,0.923076923,0.5835742
388,0.178571429,0.54632217
389,0.894736842,0.78661835
390,0.833333333,0.82953376
391,0.181818182,0.35277513
392,0.769230769,0.81189185
393,0,0.35070148
394,0.090909091,0.2912278
395,0.272727273,0.6638921
396,0.6,0.7953648
397,0,0.1895223
398,0,0.065080434
399,0.6,0.41153342
400,0.6,0.68957734
401,1,0.66759914
402,0.75,0.5624635
403,0.681818182,0.78417456
404,0.052631579,0.30314466
405,0.48,0.24426326
406,0.733333333,0.5222312
407,0.363636364,0.3921656
408,0.414634146,0.5765611
409,0.214285714,0.34578115
410,0.692307692,0.69431514
411,0.125,0.09402418
412,0.2,0.06974046
413,0.357142857,0.33355388
414,0.41025641,0.44862914
415,0.083333333,0.281404
416,0.583333333,0.8219235
417,0.838709677,0.47052893
418,0.6,0.6059319
419,0.611111111,0.56394315
420,0.6875,0.45099366
421,0.363636364,0.16472174
422,0.68,0.43813062
423,1,0.6216123
424,0.740740741,0.77149516
425,0.761904762,0.74296767
426,0.625,0.5659973
427,0.863636364,0.8028689
428,0.272727273,0.46449167
429,0.583333333,0.41241753
430,0.222222222,0.38966054
431,0.647058824,0.52064365
432,0,0.11313485
433,0.407407407,0.6348623
434,0.933333333,0.66430026
435,1,0.68598384
436,0.142857143,0.12148301
437,0.761904762,0.51709586
438,0.181818182,0.2959783
439,0,0.37935793
440,0.45,0.63337445
441,0.217391304,0.26665428
442,0.523809524,0.35230276
443,0.04,0.14619376
444,0.9375,0.78870946
445,0.947368421,0.6755228
446,0.3,0.35698804
447,0.666666667,0.680818
448,0,0.09951766
449,0.454545455,0.5681673
450,0.695652174,0.64795876
451,0.681818182,0.725263
452,0.714285714,0.7433348
453,0.727272727,0.6885094
454,1,0.8115068
455,0.916666667,0.7070923
456,0,0.18752629
457,0.55,0.34391072
458,0.7,0.559721
459,0.130434783,0.25944367
460,0.956521739,0.63660914
461,0.058823529,0.42295206
462,0.772727273,0.42547157
463,0.923076923,0.63343406
464,0.407407407,0.31516036
465,0.058823529,0.20193389
466,0.090909091,0.11308622
467,0.529411765,0.49619076
468,0.695652174,0.59691715
469,0.3,0.3943728
470,0.769230769,0.62166446
471,0.625,0.5702308
472,0.647058824,0.6040253
473,0.647058824,0.3262217
474,0.8,0.65233475
475,0.684210526,0.40183404
476,0.529411765,0.35194308
477,0.363636364,0.64210135
478,0.3,0.35698804
479,0.785714286,0.7039837
480,0.916666667,0.5428473
481,0.636363636,0.5266829
482,0.454545455,0.61702996
483,0.277777778,0.39812338
484,0,0.029475443
485,0.318181818,0.2616421
486,1,0.680848
487,0.454545455,0.5250936
488,0.25,0.16187859
489,0.733333333,0.62922746
490,0.357142857,0.53334916
491,0.518518519,0.6515352
492,0.947368421,0.6493713
493,0.230769231,0.34569168
494,0.6,0.5960051
495,0.368421053,0.2488319
496,0.043478261,0.11170105
497,0.428571429,0.50086546
498,0.4,0.23458382
499,0,0.14904627
500,0.36,0.55411726
501,0.333333333,0.44280756
502,0.857142857,0.57472175
503,0.583333333,0.53233796
504,0.714285714,0.73231465
505,0.111111111,0.5767341
506,0,0.16506815
507,0.733333333,0.6307185
508,0.567567568,0.50057125
509,0.76,0.5965929
510,0,0.39388144
511,0.380952381,0.16009822
512,0.5,0.45444128
513,0.28,0.36080575
514,0.285714286,0.16642143
515,0.4375,0.41324228
516,0.642857143,0.36864084
517,0.619047619,0.5002724
518,0.36,0.3523289
519,0.928571429,0.80205244
520,0.909090909,0.6426354
521,0.684210526,0.58097905
522,0,0.15891927
523,0.153846154,0.18959278
524,0.375,0.4881981
525,0.058823529,0.22632217
526,1,0.8248936
527,0.9,0.65583813
528,0.866666667,0.73186415
529,0.076923077,0.30119315
530,0.285714286,0.2588208
531,0.173913043,0.41509095
532,0,0.13974153
533,0.730769231,0.66703534
